Timestamp,PPG
186484.3251485,42881.0,83770.0
186484.3251578,42864.0,83876.0
186484.3251831,42871.0,83744.0
186484.3252089,42870.0,83782.0
186484.3252331,42871.0,83668.0
186484.4219407,42863.0,83884.0
186484.4219645,42886.0,83875.0
186484.4219837,42866.0,83755.0
186484.4219988,42886.0,83878.0
186484.4220169,42867.0,83644.0
186484.4220305,42861.0,83902.0
186484.4220471,42860.0,83887.0
186484.42206,42880.0,83740.0
186484.4220763,42890.0,83911.0
186484.4220903,42879.0,83761.0
186484.5316049,42856.0,83944.0
186484.5316243,42886.0,83875.0
186484.5316355,42866.0,83755.0
186484.5316463,42885.0,83986.0
186484.5316594,42867.0,83644.0
186484.5316704,42835.0,83998.0
186484.5316808,42860.0,83887.0
186484.5316971,42880.0,83740.0
186484.5317142,42875.0,83995.0
186484.5317542,42879.0,83761.0
186484.6231136,42862.0,83980.0
186484.6231277,42866.0,83842.0
186484.6231356,42870.0,83749.0
186484.623143,42873.0,83941.0
186484.6231515,42859.0,83716.0
186484.623159,42835.0,83902.0
186484.6231673,42864.0,83875.0
186484.6231749,42871.0,83743.0
186484.6231827,42881.0,83878.0
186484.6231902,42871.0,83668.0
186484.7231751,42838.0,83788.0
186484.7231875,42866.0,83842.0
186484.7231951,42870.0,83750.0
186484.7232025,42876.0,83776.0
186484.7232121,42859.0,83718.0
186484.723234,42859.0,83776.0
186484.723257,42864.0,83876.0
186484.7232752,42871.0,83744.0
186484.7232969,42869.0,83742.0
186484.7233177,42871.0,83668.0
186484.8220176,42853.0,83720.0
186484.8220413,42886.0,83876.0
186484.8220602,42866.0,83756.0
186484.8220748,42846.0,83716.0
186484.8220922,42867.0,83644.0
186484.8221082,42850.0,83726.0
186484.8221273,42860.0,83888.0
186484.8221434,42880.0,83740.0
186484.8221594,42855.0,83738.0
186484.8221737,42879.0,83762.0
186484.922799,42854.0,83738.0
186484.922827,42886.0,83876.0
186484.9228352,42866.0,83756.0
186484.9228427,42867.0,83724.0
186484.9228504,42867.0,83644.0
186484.9228587,42861.0,83738.0
186484.9228659,42860.0,83888.0
186484.9228732,42880.0,83740.0
186484.9228805,42855.0,83746.0
186484.9228878,42879.0,83762.0
186485.0429036,42866.0,83808.0
186485.0429164,42866.0,83842.0
186485.042925,42870.0,83750.0
186485.0429333,42867.0,83808.0
186485.0429425,42859.0,83718.0
186485.0429514,42851.0,83812.0
186485.0429591,42864.0,83876.0
186485.0429671,42871.0,83744.0
186485.0429749,42864.0,83832.0
186485.0429832,42871.0,83668.0
186485.1454863,42868.0,83872.0
186485.1455117,42866.0,83842.0
186485.1455318,42870.0,83750.0
186485.1455483,42876.0,83878.0
186485.1455594,42859.0,83718.0
186485.1455685,42884.0,83912.0
186485.145577,42864.0,83876.0
186485.1455857,42871.0,83744.0
186485.1457271,42877.0,83916.0
186485.1458232,42871.0,83668.0
186485.2484741,42897.0,84036.0
186485.2484981,42886.0,83876.0
186485.2485161,42866.0,83756.0
186485.248533,42882.0,84024.0
186485.2485508,42867.0,83644.0
186485.2485681,42888.0,84060.0
186485.2485845,42860.0,83888.0
186485.2486114,42880.0,83740.0
186485.2486292,42886.0,84036.0
186485.2486724,42879.0,83760.0
186485.3402227,42890.0,83950.0
186485.3402385,42886.0,83875.0
186485.3402486,42866.0,83755.0
186485.3402588,42865.0,83887.0
186485.3402694,42867.0,83644.0
186485.3402793,42872.0,83902.0
186485.3402887,42860.0,83887.0
186485.3402987,42880.0,83740.0
186485.3403085,42858.0,83836.0
186485.3403186,42879.0,83761.0
186485.4368005,42862.0,83808.0
186485.4368125,42866.0,83842.0
186485.43682,42870.0,83750.0
186485.4368279,42848.0,83764.0
